JournalName,ImpactFactor2020,Source,Type
Acta Medica Mediterranea,,SCI_Journals_2020,SCI
Acta Medica Portuguesa,,SCI_Journals_2020,SCI
Acta Medica Saliniana,,SCI_Journals_2020,SCI
Acta Metallurgica Slovaca,,SCI_Journals_2020,SCI
Acta Mycologica,,SCI_Journals_2020,SCI
Acta Neophilologica,,SCI_Journals_2020,SCI
Acta Neurobiologiae Experimentalis,,SCI_Journals_2020,SCI
Acta neuropathologica communications,,SCI_Journals_2020,SCI
Acta of Bioengineering and Biomechanics,,SCI_Journals_2020,SCI
Acta Orthopaedica,,SCI_Journals_2020,SCI
Acta Orthopaedica et Traumatologica Turcica,,SCI_Journals_2020,SCI
Acta Ortopedica Brasileira,,SCI_Journals_2020,SCI
Acta Otorhinolaryngologica Italica,,SCI_Journals_2020,SCI
Acta Palaeobotanica,,SCI_Journals_2020,SCI
Acta Palaeontologica Polonica,,SCI_Journals_2020,SCI
ACTA Paulista de Enfermagem,,SCI_Journals_2020,SCI
Acta Pediatrica de Mexico,,SCI_Journals_2020,SCI
Acta Periodica Technologica,,SCI_Journals_2020,SCI
Acta Pharmaceutica,,SCI_Journals_2020,SCI
Acta Pharmaceutica Sinica B,,SCI_Journals_2020,SCI
Acta Physica Polonica B,,SCI_Journals_2020,SCI
Acta Phytotaxonomica et Geobotanica,,SCI_Journals_2020,SCI
Acta Poetica,,SCI_Journals_2020,SCI
Acta Politologica,,SCI_Journals_2020,SCI
Acta Poloniae Pharmaceutica,,SCI_Journals_2020,SCI
Acta Polytechnica,,SCI_Journals_2020,SCI
Acta Polytechnica Hungarica,,SCI_Journals_2020,SCI
Acta Protozoologica,,SCI_Journals_2020,SCI
Acta Reumatologica Portuguesa,,SCI_Journals_2020,SCI
Acta Scientiarum – Agronomy,,SCI_Journals_2020,SCI
Acta Scientiarum – Animal Sciences,,SCI_Journals_2020,SCI
Acta Scientiarum – Biological Sciences,,SCI_Journals_2020,SCI
Acta Scientiarum – Health Sciences,,SCI_Journals_2020,SCI
Acta Scientiarum Language and Culture,,SCI_Journals_2020,SCI
"Acta Scientiarum Polonorum, Administratio Locorum",,SCI_Journals_2020,SCI
"Acta Scientiarum Polonorum, Hortorum Cultus",,SCI_Journals_2020,SCI
Acta Scientiarum – Technology,,SCI_Journals_2020,SCI
Acta Silvatica et Lignaria Hungarica,,SCI_Journals_2020,SCI
Acta Societatis Botanicorum Poloniae,,SCI_Journals_2020,SCI
Acta Stomatologica Croatica,,SCI_Journals_2020,SCI
Acta Stomatologica Naissi,,SCI_Journals_2020,SCI
Acta Tabacaria Sinica,,SCI_Journals_2020,SCI
Acta Technologica Agriculturae,,SCI_Journals_2020,SCI
Acta Theologica,,SCI_Journals_2020,SCI
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,,SCI_Journals_2020,SCI
"Acta Universitatis Carolinae, Geographica",,SCI_Journals_2020,SCI
"Acta Universitatis Sapientiae, Mathematica",,SCI_Journals_2020,SCI
"Acta Universitatis Sapientiae, Philologica",,SCI_Journals_2020,SCI
Acta Veterinaria,,SCI_Journals_2020,SCI
Acta Veterinaria Brasilica,,SCI_Journals_2020,SCI
Acta Veterinaria Brno,,SCI_Journals_2020,SCI
Acta Veterinaria Scandinavica,,SCI_Journals_2020,SCI
Acta Zoologica Academiae Scientiarum Hungaricae,,SCI_Journals_2020,SCI
Acta Zoologica Bulgarica,,SCI_Journals_2020,SCI
Active and Passive Electronic Components,,SCI_Journals_2020,SCI
Actuators,,SCI_Journals_2020,SCI
Adansonia,,SCI_Journals_2020,SCI
Addiction science & clinical practice,,SCI_Journals_2020,SCI
Addictive Behaviors Reports,,SCI_Journals_2020,SCI
Adipocyte,,SCI_Journals_2020,SCI
ADMET and DMPK,,SCI_Journals_2020,SCI
Administratie si Management Public,,SCI_Journals_2020,SCI
Administration,,SCI_Journals_2020,SCI
Adsorption Science and Technology,,SCI_Journals_2020,SCI
Advanced Electromagnetics,,SCI_Journals_2020,SCI
Advanced Manufacturing: Polymer and Composites Science,,SCI_Journals_2020,SCI
Advanced Modeling and Simulation in Engineering Sciences,,SCI_Journals_2020,SCI
Advanced Pharmaceutical Bulletin,,SCI_Journals_2020,SCI
Advanced Science,,SCI_Journals_2020,SCI
Advanced Structural and Chemical Imaging,,SCI_Journals_2020,SCI
Advances and Applications in Bioinformatics and Chemistry,,SCI_Journals_2020,SCI
Advances in Acoustics and Vibration,,SCI_Journals_2020,SCI
Advances in Animal and Veterinary Sciences,,SCI_Journals_2020,SCI
Advances in Astronomy,,SCI_Journals_2020,SCI
Advances in Bioinformatics,,SCI_Journals_2020,SCI
Advances in Business Related Scientific Research Journal,,SCI_Journals_2020,SCI
Advances in Cell Biology,,SCI_Journals_2020,SCI
Advances in Civil Engineering,,SCI_Journals_2020,SCI
Advances in Climate Change Research,,SCI_Journals_2020,SCI
Advances in Clinical and Experimental Medicine,,SCI_Journals_2020,SCI
Advances in Cognitive Psychology,,SCI_Journals_2020,SCI
Advances in Computational Design,,SCI_Journals_2020,SCI
Advances in Condensed Matter Physics,,SCI_Journals_2020,SCI
Advances in Decision Sciences,,SCI_Journals_2020,SCI
Advances in Difference Equations,,SCI_Journals_2020,SCI
Advances in Electrical and Computer Engineering,,SCI_Journals_2020,SCI
Advances in Electrical and Electronic Engineering,,SCI_Journals_2020,SCI
Advances in Fuzzy Systems,,SCI_Journals_2020,SCI
Advances in Geosciences,,SCI_Journals_2020,SCI
Advances in Group Theory and Applications,,SCI_Journals_2020,SCI
Advances in Hematology,,SCI_Journals_2020,SCI
Advances in High Energy Physics,,SCI_Journals_2020,SCI
Advances in Horticultural Science,,SCI_Journals_2020,SCI
Advances in Hospitality and Tourism Research,,SCI_Journals_2020,SCI
Advances in Human-Computer Interaction,,SCI_Journals_2020,SCI
Advances in Materials Science and Engineering,,SCI_Journals_2020,SCI
Advances in Mathematical Physics,,SCI_Journals_2020,SCI
Advances in Mechanical Engineering,,SCI_Journals_2020,SCI
Advances in Meteorology,,SCI_Journals_2020,SCI
Advances in Military Technology,,SCI_Journals_2020,SCI
Advances in Multimedia,,SCI_Journals_2020,SCI
Advances in Nonlinear Analysis,,SCI_Journals_2020,SCI
Advances in Oceanography and Limnology,,SCI_Journals_2020,SCI
Advances in Operations Research,,SCI_Journals_2020,SCI
Advances in Operator Theory,,SCI_Journals_2020,SCI
Advances in Optical Technologies,,SCI_Journals_2020,SCI
Advances in OptoElectronics,,SCI_Journals_2020,SCI
Advances in Orthopedics,,SCI_Journals_2020,SCI
Advances in Pharmacological Sciences,,SCI_Journals_2020,SCI
Advances in Physical Chemistry,,SCI_Journals_2020,SCI
Advances in Physics: X,,SCI_Journals_2020,SCI
Advances in Polymer Technology,,SCI_Journals_2020,SCI
Advances in Power Electronics,,SCI_Journals_2020,SCI
Advances in Radiation Oncology,,SCI_Journals_2020,SCI
Advances in Radio Science,,SCI_Journals_2020,SCI
Advances in Respiratory Medicine,,SCI_Journals_2020,SCI
Advances in Rheumatology,,SCI_Journals_2020,SCI
Advances in Tribology,,SCI_Journals_2020,SCI
Advances in Urology,,SCI_Journals_2020,SCI
Advances in Virology,,SCI_Journals_2020,SCI
AEJ – Alexandria Engineering Journal,,SCI_Journals_2020,SCI
Aerospace,,SCI_Journals_2020,SCI
Aestimum,,SCI_Journals_2020,SCI
Africa Development/Afrique et Developpement,,SCI_Journals_2020,SCI
Africa Spectrum,,SCI_Journals_2020,SCI
African Evaluation Journal,,SCI_Journals_2020,SCI
African Health Sciences,,SCI_Journals_2020,SCI
African Invertebrates,,SCI_Journals_2020,SCI
African Journal of Agricultural and Resource Economics,,SCI_Journals_2020,SCI
African Journal of Disability,,SCI_Journals_2020,SCI
African Journal of Emergency Medicine,,SCI_Journals_2020,SCI
"African Journal of Food, Agriculture, Nutrition and Development",,SCI_Journals_2020,SCI
"African Journal of Hospitality, Tourism and Leisure",,SCI_Journals_2020,SCI
African Journal of Infectious Diseases,,SCI_Journals_2020,SCI
African Journal of Laboratory Medicine,,SCI_Journals_2020,SCI
African Journal of Paediatric Surgery,,SCI_Journals_2020,SCI
African Journal of Primary Health Care and Family Medicine,,SCI_Journals_2020,SCI
African Journal of Social Work,,SCI_Journals_2020,SCI
African Journal of Urology,,SCI_Journals_2020,SCI
African Review of Physics,,SCI_Journals_2020,SCI
African Vision and Eye Health,,SCI_Journals_2020,SCI
Aging and Disease,,SCI_Journals_2020,SCI
Aging Cell,,SCI_Journals_2020,SCI
Agora,,SCI_Journals_2020,SCI
Agora – Estudos Classicos em Debate,,SCI_Journals_2020,SCI
Agraarteadus,,SCI_Journals_2020,SCI
Agri Dergisi,,SCI_Journals_2020,SCI
Agricultural and Food Economics,,SCI_Journals_2020,SCI
Agricultural and Food Science,,SCI_Journals_2020,SCI
Agricultural and Resource Economics Review,,SCI_Journals_2020,SCI
Agricultural Economics (Czech Republic),,SCI_Journals_2020,SCI
Agricultural Engineering International: CIGR Journal,,SCI_Journals_2020,SCI
Agriculture,,SCI_Journals_2020,SCI
Agriculture and Food Security,,SCI_Journals_2020,SCI
Agriculture and Natural Resources,,SCI_Journals_2020,SCI
Agriculture (Switzerland),,SCI_Journals_2020,SCI
Agris On-line Papers in Economics and Informatics,,SCI_Journals_2020,SCI
AgriScientia,,SCI_Journals_2020,SCI
Agrivita,,SCI_Journals_2020,SCI
Agrociencia,,SCI_Journals_2020,SCI
Agronomia Colombiana,,SCI_Journals_2020,SCI
Agronomy,,SCI_Journals_2020,SCI
Agronomy Research,,SCI_Journals_2020,SCI
AIB Studi,,SCI_Journals_2020,SCI
AIBR Revista de Antropologia Iberoamericana,,SCI_Journals_2020,SCI
AIDS Research and Therapy,,SCI_Journals_2020,SCI
AIDS Research and TreatmentAIMS Agriculture and Food,,SCI_Journals_2020,SCI
AIMS Biophysics,,SCI_Journals_2020,SCI
AIMS Energy,,SCI_Journals_2020,SCI
AIMS Materials Science,,SCI_Journals_2020,SCI
AIMS Microbiology,,SCI_Journals_2020,SCI
AIMS Neuroscience,,SCI_Journals_2020,SCI
Ain Shams Engineering Journal,,SCI_Journals_2020,SCI
AIP Advances,,SCI_Journals_2020,SCI
"Air, Soil and Water Research",,SCI_Journals_2020,SCI
Aisthesis,,SCI_Journals_2020,SCI
Aisthesis (Italy),,SCI_Journals_2020,SCI
Ajalooline Ajakiri,,SCI_Journals_2020,SCI
AJP Reports,,SCI_Journals_2020,SCI
AKCE International Journal of Graphs and Combinatorics,,SCI_Journals_2020,SCI
Al-Jami’ah,,SCI_Journals_2020,SCI
Al-Qantara,,SCI_Journals_2020,SCI
Alcoholism and Psychiatry Research,,SCI_Journals_2020,SCI
Alea,,SCI_Journals_2020,SCI
Alergia Astma Immunologia,,SCI_Journals_2020,SCI
Algae,,SCI_Journals_2020,SCI
Algebra and Discrete Mathematics,,SCI_Journals_2020,SCI
Algebraic Geometry,,SCI_Journals_2020,SCI
Algorithms,,SCI_Journals_2020,SCI
Algorithms for Molecular Biology,,SCI_Journals_2020,SCI
Allergology International,,SCI_Journals_2020,SCI
"Allergy, Asthma and Clinical Immunology",,SCI_Journals_2020,SCI
"Allergy, Asthma and Immunology Research",,SCI_Journals_2020,SCI
Aloma,,SCI_Journals_2020,SCI
Alpha,,SCI_Journals_2020,SCI
Alpine and Mediterranean Quaternary,,SCI_Journals_2020,SCI
Altex,,SCI_Journals_2020,SCI
Altre Modernita,,SCI_Journals_2020,SCI
"Alzheimer’s and Dementia: Diagnosis, Assessment and Disease Monitoring",,SCI_Journals_2020,SCI
Alzheimer’s and Dementia: Translational Research and Clinical Interventions,,SCI_Journals_2020,SCI
Alzheimer’s Research and Therapy,,SCI_Journals_2020,SCI
Amaltea,,SCI_Journals_2020,SCI
AMB Express,,SCI_Journals_2020,SCI
Ambiente e Sociedade,,SCI_Journals_2020,SCI
America Latina en la Historia Economica,,SCI_Journals_2020,SCI
America Latina Hoy,,SCI_Journals_2020,SCI
"American, British and Canadian Studies",,SCI_Journals_2020,SCI
American Journal of Animal and Veterinary Sciences,,SCI_Journals_2020,SCI
American Journal of Biochemistry and Biotechnology,,SCI_Journals_2020,SCI
American Journal of Case Reports,,SCI_Journals_2020,SCI
American Journal of Men’s Health,,SCI_Journals_2020,SCI
American Journal of Neurodegenerative Diseases,,SCI_Journals_2020,SCI
American Journal of Nuclear Medicine and Molecular Imaging,,SCI_Journals_2020,SCI
American Journal of Ophthalmology Case Reports,,SCI_Journals_2020,SCI
American Journal of Pharmaceutical Education,,SCI_Journals_2020,SCI
American Journal of Physiology – Advances in Physiology Education,,SCI_Journals_2020,SCI
American Journal of Translational Research,,SCI_Journals_2020,SCI
Amfiteatru Economic,,SCI_Journals_2020,SCI
AMHA – Acta Medico-Historica Adriatica,,SCI_Journals_2020,SCI
Ampersand,,SCI_Journals_2020,SCI
"Anaesthesia, Pain and Intensive Care",,SCI_Journals_2020,SCI
Anaesthesiology Intensive Therapy,,SCI_Journals_2020,SCI
Anais Brasileiros de Dermatologia,,SCI_Journals_2020,SCI
Anais da Academia Brasileira de Ciencias,,SCI_Journals_2020,SCI
"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica",,SCI_Journals_2020,SCI
"Analele Universitatii din Bucuresti, Seria Stiinte Politice",,SCI_Journals_2020,SCI
Analele Universitatii din Craiova – Seria Istorie,,SCI_Journals_2020,SCI
Anales Cervantinos,,SCI_Journals_2020,SCI
Anales de Documentacion,,SCI_Journals_2020,SCI
Anales de Geografia de la Universidad Complutense,,SCI_Journals_2020,SCI
Anales de la Asociacion Fisica Argentina,,SCI_Journals_2020,SCI
Anales de Psicologia,,SCI_Journals_2020,SCI
Anales del Instituto de Investigaciones Esteticas,,SCI_Journals_2020,SCI
Anales del Jardin Botanico de Madrid,,SCI_Journals_2020,SCI
Anales del Seminario de Historia de la Filosofia,,SCI_Journals_2020,SCI
Anali Hrvatskog Politoloskog Drustva,,SCI_Journals_2020,SCI
Anali Zavoda za Povijesne Znanosti Hrvatske Akademije Znanosti i Umjetnosti u Dubrovniku,,SCI_Journals_2020,SCI
Analise Social,,SCI_Journals_2020,SCI
Analisi,,SCI_Journals_2020,SCI
Analisi Linguistica e Letteraria,,SCI_Journals_2020,SCI
Analisis Filosofico,,SCI_Journals_2020,SCI
Analitika i Kontrol,,SCI_Journals_2020,SCI
Analiza i Egzystencja,,SCI_Journals_2020,SCI
Analyse und Kritik,,SCI_Journals_2020,SCI
Analysis and Geometry in Metric Spaces,,SCI_Journals_2020,SCI
Analytica Chimica Acta: X,,SCI_Journals_2020,SCI
Analytical and Bioanalytical Chemistry Research,,SCI_Journals_2020,SCI
Analytical Cellular Pathology,,SCI_Journals_2020,SCI
Analytical Chemistry Insights,,SCI_Journals_2020,SCI
Analytical Chemistry Research,,SCI_Journals_2020,SCI
Analytical Sciences,,SCI_Journals_2020,SCI
Anastasis,,SCI_Journals_2020,SCI
Anatolian journal of cardiology,,SCI_Journals_2020,SCI
Anatomy and Cell Biology,,SCI_Journals_2020,SCI
Ancient Asia,,SCI_Journals_2020,SCI
Anclajes,,SCI_Journals_2020,SCI
Andean Geology,,SCI_Journals_2020,SCI
Anemia,,SCI_Journals_2020,SCI
Anesthesiology Research and Practice,,SCI_Journals_2020,SCI
Angle Orthodontist,,SCI_Journals_2020,SCI
Animal Biodiversity and Conservation,,SCI_Journals_2020,SCI
Animal Biotelemetry,,SCI_Journals_2020,SCI
Animal Cells and Systems,,SCI_Journals_2020,SCI
Animal Nutrition,,SCI_Journals_2020,SCI
Animal Reproduction,,SCI_Journals_2020,SCI
Animal Science Papers and Reports,,SCI_Journals_2020,SCI
Animals,,SCI_Journals_2020,SCI
Ankara Universitesi Eczacilik Fakultesi Dergisi,,SCI_Journals_2020,SCI
Ankara Universitesi Veteriner Fakultesi Dergisi,,SCI_Journals_2020,SCI
Annales Academiae Scientiarum Fennicae Mathematica,,SCI_Journals_2020,SCI
Annales de la Fondation Louis de Broglie,,SCI_Journals_2020,SCI
Annales Geophysicae,,SCI_Journals_2020,SCI
Annales Mathematicae et Informaticae,,SCI_Journals_2020,SCI
Annali dell’Istituto Superiore di Sanita,,SCI_Journals_2020,SCI
Annali di Botanica,,SCI_Journals_2020,SCI
Annali di Ca Foscari Serie Orientale,,SCI_Journals_2020,SCI
Annals of African Surgery,,SCI_Journals_2020,SCI
Annals of Agricultural and Environmental Medicine,,SCI_Journals_2020,SCI
Annals of Agricultural Sciences,,SCI_Journals_2020,SCI
Annals of Animal Science,,SCI_Journals_2020,SCI
Annals of Burns and Fire Disasters,,SCI_Journals_2020,SCI
Annals of Cardiac Anaesthesia,,SCI_Journals_2020,SCI
Annals of Clinical and Translational Neurology,,SCI_Journals_2020,SCI
Annals of Clinical Microbiology and Antimicrobials,,SCI_Journals_2020,SCI
Annals of Coloproctology,,SCI_Journals_2020,SCI
Annals of Dermatology,,SCI_Journals_2020,SCI
"Annals of “Dunarea de Jos” University of Galati, Fascicle XII, Welding Equipment and Technology",,SCI_Journals_2020,SCI
Annals of Family Medicine,,SCI_Journals_2020,SCI
Annals of Forest Research,,SCI_Journals_2020,SCI
Annals of Functional Analysis,,SCI_Journals_2020,SCI
Annals of Gastroenterology,,SCI_Journals_2020,SCI
Annals of General Psychiatry,,SCI_Journals_2020,SCI
Annals of Geophysics,,SCI_Journals_2020,SCI
Annals of Glaciology,,SCI_Journals_2020,SCI
Annals of Global Health,,SCI_Journals_2020,SCI
Annals of Indian Academy of Neurology,,SCI_Journals_2020,SCI
Annals of Intensive Care,,SCI_Journals_2020,SCI
Annals of Laboratory Medicine,,SCI_Journals_2020,SCI
Annals of Library and Information Studies,,SCI_Journals_2020,SCI
Annals of Long-Term Care,,SCI_Journals_2020,SCI
Annals of Medicine and Surgery,,SCI_Journals_2020,SCI
Annals of Neurosciences,,SCI_Journals_2020,SCI
Annals of Occupational and Environmental Medicine,,SCI_Journals_2020,SCI
Annals of Pediatric Cardiology,,SCI_Journals_2020,SCI
Annals of Pediatric Endocrinology and Metabolism,,SCI_Journals_2020,SCI
Annals of Pediatric Surgery,,SCI_Journals_2020,SCI
Annals of Rehabilitation Medicine,,SCI_Journals_2020,SCI
Annals of Saudi Medicine,,SCI_Journals_2020,SCI
Annals of Silvicultural Research,,SCI_Journals_2020,SCI
Annals of Surgical Treatment and Research,,SCI_Journals_2020,SCI
Annals of the Academy of Romanian Scientists: Series on Mathematics and its Applications,,SCI_Journals_2020,SCI
"Annals of the University Dunarea de Jos of Galati, Fascicle VI: Food Technology",,SCI_Journals_2020,SCI
Annals of Thoracic Medicine,,SCI_Journals_2020,SCI
Annals of Tropical Medicine and Public Health,,SCI_Journals_2020,SCI
Annual Review of CyberTherapy and Telemedicine,,SCI_Journals_2020,SCI
Anos 90,,SCI_Journals_2020,SCI
Antarctic Record,,SCI_Journals_2020,SCI
Anthropological Notebooks,,SCI_Journals_2020,SCI
Anthropological Review,,SCI_Journals_2020,SCI
Anthropology in Action,,SCI_Journals_2020,SCI
Antibiotics,,SCI_Journals_2020,SCI
Antibodies,,SCI_Journals_2020,SCI
Antimicrobial Resistance and Infection Control,,SCI_Journals_2020,SCI
Antioxidants,,SCI_Journals_2020,SCI
Antipoda,,SCI_Journals_2020,SCI
Anuario Calderoniano,,SCI_Journals_2020,SCI
Anuario Colombiano de Historia Social y de la Cultura,,SCI_Journals_2020,SCI
Anuario de Estudios Americanos,,SCI_Journals_2020,SCI
Anuario de Estudios Medievales,,SCI_Journals_2020,SCI
Anuario de Historia de la Iglesia,,SCI_Journals_2020,SCI
Anuario de Psicologia Juridica,,SCI_Journals_2020,SCI
Anuario do Instituto de Geociencias,,SCI_Journals_2020,SCI
Anuario Lope de Vega,,SCI_Journals_2020,SCI
Baghdad Science Journal,,SCI_Journals_2020,SCI
Bajo Palabra,,SCI_Journals_2020,SCI
Bakhtiniana,,SCI_Journals_2020,SCI
Balkan Journal of Geometry and its Applications,,SCI_Journals_2020,SCI
Balkan Journal of Medical Genetics,,SCI_Journals_2020,SCI
Balkan Medical Journal,,SCI_Journals_2020,SCI
Baltic Forestry,,SCI_Journals_2020,SCI
Baltic Journal of Art History,,SCI_Journals_2020,SCI
Baltic Journal of Economics,,SCI_Journals_2020,SCI
Baltic Journal of European Studies,,SCI_Journals_2020,SCI
Baltic Journal of Law and Politics,,SCI_Journals_2020,SCI
Baltic Journal of Road and Bridge Engineering,,SCI_Journals_2020,SCI
Baltic Region,,SCI_Journals_2020,SCI
Baltica,,SCI_Journals_2020,SCI
Bangladesh Journal of Botany,,SCI_Journals_2020,SCI
Bangladesh Journal of Medical Science,,SCI_Journals_2020,SCI
Bangladesh Journal of Pharmacology,,SCI_Journals_2020,SCI
Bangladesh Medical Research Council Bulletin,,SCI_Journals_2020,SCI
Banks and Bank Systems,,SCI_Journals_2020,SCI
BAR – Brazilian Administration Review,,SCI_Journals_2020,SCI
Barnboken,,SCI_Journals_2020,SCI
Basic and Clinical Andrology,,SCI_Journals_2020,SCI
Basic and Clinical Neuroscience,,SCI_Journals_2020,SCI
Batteries,,SCI_Journals_2020,SCI
BBA Clinical,,SCI_Journals_2020,SCI
BDJ Open,,SCI_Journals_2020,SCI
Behavioral and Brain Functions,,SCI_Journals_2020,SCI
Behavioral Sciences,,SCI_Journals_2020,SCI
Behavioural Neurology,,SCI_Journals_2020,SCI
Beilstein Journal of Nanotechnology,,SCI_Journals_2020,SCI
Beilstein Journal of Organic Chemistry,,SCI_Journals_2020,SCI
BELGEO,,SCI_Journals_2020,SCI
Bellaterra Journal of Teaching and Learning Language and Literature,,SCI_Journals_2020,SCI
Biblica,,SCI_Journals_2020,SCI
Biblica et Patristica Thoruniensia,,SCI_Journals_2020,SCI
Biblical Annals,,SCI_Journals_2020,SCI
Biblios,,SCI_Journals_2020,SCI
Bibliothecae.it,,SCI_Journals_2020,SCI
BiD,,SCI_Journals_2020,SCI
Biharean Biologist,,SCI_Journals_2020,SCI
Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,,SCI_Journals_2020,SCI
"Bijdragen tot de Taal-, Land- en Volkenkunde",,SCI_Journals_2020,SCI
Bilgi Dunyasi,,SCI_Journals_2020,SCI
Bio-based and Applied Economics,,SCI_Journals_2020,SCI
Bioactive Materials,,SCI_Journals_2020,SCI
Bioagro,,SCI_Journals_2020,SCI
Bioarchaeology of the Near East,,SCI_Journals_2020,SCI
Biocell,,SCI_Journals_2020,SCI
Biochemia Medica,,SCI_Journals_2020,SCI
Biochemistry and Biophysics Reports,,SCI_Journals_2020,SCI
Biochemistry Research International,,SCI_Journals_2020,SCI
Biochimie Open,,SCI_Journals_2020,SCI
BioData Mining,,SCI_Journals_2020,SCI
Biodiversitas,,SCI_Journals_2020,SCI
Biodiversity Data Journal,,SCI_Journals_2020,SCI
Bioengineered,,SCI_Journals_2020,SCI
Bioengineering,,SCI_Journals_2020,SCI
Biofuel Research Journal,,SCI_Journals_2020,SCI
Biogeographia,,SCI_Journals_2020,SCI
Biogeosciences,,SCI_Journals_2020,SCI
BioImpacts,,SCI_Journals_2020,SCI
Bioinformatics and Biology Insights,,SCI_Journals_2020,SCI
Bioinorganic Chemistry and Applications,,SCI_Journals_2020,SCI
Biointerface Research in Applied Chemistry,,SCI_Journals_2020,SCI
BioInvasions Records,,SCI_Journals_2020,SCI
BioLaw Journal,,SCI_Journals_2020,SCI
Biologia Plantarum,,SCI_Journals_2020,SCI
Biological Letters,,SCI_Journals_2020,SCI
Biological Procedures Online,,SCI_Journals_2020,SCI
Biological Research,,SCI_Journals_2020,SCI
Biologics: Targets and Therapy,,SCI_Journals_2020,SCI
Biology,,SCI_Journals_2020,SCI
Biology Direct,,SCI_Journals_2020,SCI
Biology of Sex Differences,,SCI_Journals_2020,SCI
Biology of Sport,,SCI_Journals_2020,SCI
Biology Open,,SCI_Journals_2020,SCI
Biomarker Insights,,SCI_Journals_2020,SCI
Biomarker Research,,SCI_Journals_2020,SCI
Biomaterials Research,,SCI_Journals_2020,SCI
Biomath,,SCI_Journals_2020,SCI
BioMed Research International,,SCI_Journals_2020,SCI
Biomedica,,SCI_Journals_2020,SCI
Biomedical and Pharmacology Journal,,SCI_Journals_2020,SCI
BioMedical Engineering Online,,SCI_Journals_2020,SCI
Biomedical Glasses,,SCI_Journals_2020,SCI
Biomedical Human Kinetics,,SCI_Journals_2020,SCI
Biomedical Journal,,SCI_Journals_2020,SCI
Biomedical Optics Express,,SCI_Journals_2020,SCI
"Biomedical papers of the Medical Faculty of the University Palacký, Olomouc, Czechoslovakia",,SCI_Journals_2020,SCI
Biomedical Photonics,,SCI_Journals_2020,SCI
Biomedical Research,,SCI_Journals_2020,SCI
Biomedical Research and Therapy,,SCI_Journals_2020,SCI
BioMedicine (Netherlands),,SCI_Journals_2020,SCI
Biomedicines,,SCI_Journals_2020,SCI
Biomolecular Concepts,,SCI_Journals_2020,SCI
Biomolecular Detection and Quantification,,SCI_Journals_2020,SCI
Biomolecules,,SCI_Journals_2020,SCI
Biopolymers and Cell,,SCI_Journals_2020,SCI
BioPsychoSocial Medicine,,SCI_Journals_2020,SCI
BioResearch,,SCI_Journals_2020,SCI
BioResources,,SCI_Journals_2020,SCI
Bioresources and Bioprocessing,,SCI_Journals_2020,SCI
BioRisk,,SCI_Journals_2020,SCI
Bioscience Horizons,,SCI_Journals_2020,SCI
Bioscience Reports,,SCI_Journals_2020,SCI
Biosensors,,SCI_Journals_2020,SCI
Biosurface and Biotribology,,SCI_Journals_2020,SCI
Biota Neotropica,,SCI_Journals_2020,SCI
BioTechniques,,SCI_Journals_2020,SCI
Biotechnologia,,SCI_Journals_2020,SCI
"Biotechnology, Agronomy and Society and Environment",,SCI_Journals_2020,SCI
Biotechnology and Biotechnological Equipment,,SCI_Journals_2020,SCI
Biotechnology for Biofuels,,SCI_Journals_2020,SCI
Biotechnology Reports,,SCI_Journals_2020,SCI
Biotecnologia Aplicada,,SCI_Journals_2020,SCI
Biotecnologia Aplicada,,SCI_Journals_2020,SCI
Bitacora Urbano Territorial,,SCI_Journals_2020,SCI
BJA Education,,SCI_Journals_2020,SCI
BJPsych Bulletin,,SCI_Journals_2020,SCI
BJPsych Open,,SCI_Journals_2020,SCI
Blood Cancer Journal,,SCI_Journals_2020,SCI
Blood Research,,SCI_Journals_2020,SCI
Blood Transfusion,,SCI_Journals_2020,SCI
Blumea: Journal of Plant Taxonomy and Plant Geography,,SCI_Journals_2020,SCI
BMB Reports,,SCI_Journals_2020,SCI
BMC Anesthesiology,,SCI_Journals_2020,SCI
BMC Biochemistry,,SCI_Journals_2020,SCI
BMC Bioinformatics,,SCI_Journals_2020,SCI
BMC Biology,,SCI_Journals_2020,SCI
BMC Biophysics,,SCI_Journals_2020,SCI
BMC Biotechnology,,SCI_Journals_2020,SCI
BMC Cancer,,SCI_Journals_2020,SCI
BMC Cardiovascular Disorders,,SCI_Journals_2020,SCI
BMC Cell Biology,,SCI_Journals_2020,SCI
BMC Clinical Pathology,,SCI_Journals_2020,SCI
BMC Complementary and Alternative Medicine,,SCI_Journals_2020,SCI
BMC Dermatology,,SCI_Journals_2020,SCI
BMC Developmental Biology,,SCI_Journals_2020,SCI
"BMC Ear, Nose and Throat Disorders",,SCI_Journals_2020,SCI
BMC Ecology,,SCI_Journals_2020,SCI
BMC Emergency Medicine,,SCI_Journals_2020,SCI
BMC Endocrine Disorders,,SCI_Journals_2020,SCI
BMC Evolutionary Biology,,SCI_Journals_2020,SCI
BMC Family Practice,,SCI_Journals_2020,SCI
BMC Gastroenterology,,SCI_Journals_2020,SCI
BMC Genetics,,SCI_Journals_2020,SCI
BMC Geriatrics,,SCI_Journals_2020,SCI
BMC Health Services Research,,SCI_Journals_2020,SCI
BMC Hematology,,SCI_Journals_2020,SCI
