JournalName,ImpactFactor2020,Source,Type,Title,Publisher,ISSN,DoIsbyYear,BackFileDoIs,CurrentDoIs,TotalDoIs,Subjects,ImpactFactor,Journals_Metadata_Paths
Biotechnology Advances,,IndexedJournalsList,OpenAccess,Advances in Bioscience and Biotechnology,"""Scientific Research Publishing, Inc.""","['2152-730X', '2152-7296']",[],0.0,0.0,0.0,[],35.231,Journals_Metadata/Biotechnology Advances.json
Plant Biotechnology Journal,,IndexedJournalsList,OpenAccess,Journal of Plant Biotechnology Research,sPage.direcT,[],,,,,[],35.231,Journals_Metadata/Plant Biotechnology Journal.json
The Social Science Journal,,IndexedJournalsList,OpenAccess,The Journal of Humanities and Social sciences 21,Asia Culture Academy of Incorporated Association,['2093-8721'],"[[2020, 1036], [2019, 745], [2018, 608], [2017, 431], [2021, 237], [2016, 176]]",1215.0,2018.0,3233.0,[],35.231,Journals_Metadata/The Social Science Journal.json
American Journal of Sociology,,IndexedJournalsList,OpenAccess,American Journal of Sociology,The University of Chicago Press,"['1537-5390', '0002-9602']","[[1932, 390], [1935, 379], [1929, 378], [1930, 350], [1989, 333], [1934, 333], [1940, 326], [1931, 326], [1933, 321], [1939, 319], [1936, 310], [1927, 306], [1938, 299], [1993, 298], [1937, 288], [1998, 287], [1974, 286], [1928, 286], [1956, 283], [1961, 278], [1941, 277], [1996, 276], [1965, 276], [1926, 276], [1964, 272], [1999, 271], [1976, 269], [1978, 268], [1991, 266], [1975, 266], [1997, 265], [1977, 265], [1988, 264], [1987, 262], [2009, 258], [1994, 258], [1942, 257], [1992, 254], [1986, 253], [1962, 252], [2019, 251], [1990, 249], [1980, 248], [1973, 246], [1979, 245], [1958, 245], [1971, 240], [1957, 240], [1983, 239], [1982, 239], [1959, 239], [2010, 233], [1981, 230], [1972, 229], [1985, 228], [1963, 228], [1966, 227], [2003, 224], [1951, 222], [1943, 220], [1984, 219], [2002, 217], [2001, 214], [2000, 214], [1954, 213], [1952, 213], [2020, 211], [2006, 210], [2008, 209], [2004, 208], [1955, 208], [1950, 207], [1946, 204], [1948, 203], [1945, 203], [1949, 202], [1944, 202], [1953, 201], [1925, 201], [2005, 200], [1995, 197], [2014, 196], [2011, 196], [2018, 194], [2007, 194], [2015, 191], [1921, 190], [2016, 188], [1967, 188], [1960, 188], [2013, 187], [1970, 181], [1968, 178], [1947, 175], [1969, 173], [2017, 172], [2012, 169], [1913, 169], [1918, 161], [1920, 148], [1923, 135], [1912, 135], [1919, 133], [1917, 133], [1916, 132], [1914, 131], [1915, 123], [1922, 120], [1910, 116], [1896, 113], [1924, 112], [1908, 112], [1905, 110], [1906, 107], [1898, 105], [1909, 103], [1900, 95], [1899, 95], [1911, 94], [1907, 93], [1901, 93], [1904, 92], [1897, 92], [1903, 89], [1902, 84], [1895, 36], [2021, 29]]",26518.0,491.0,27009.0,"[{'name': 'Sociology and Political Science', 'ASJC': 3312}]",35.231,Journals_Metadata/American Journal of Sociology.json
Journal of management,,IndexedJournalsList,OpenAccess,JURNAL MANAJEMEN DAN PELAYANAN FARMASI (Journal of Management and Pharmacy Practice),Universitas Gadjah Mada,"['2443-2946', '2088-8139']","[[2019, 36], [2020, 21], [2018, 16], [2017, 13], [2021, 7], [2016, 5]]",34.0,64.0,98.0,[],35.231,Journals_Metadata/Journal of management.json
European Management Journal,,IndexedJournalsList,OpenAccess,European Journal of Economics and Management Sciences,Premier Publishing s.r.o.,['2310-5690'],"[[2016, 76], [2015, 73], [2020, 57], [2017, 42], [2019, 32], [2021, 9]]",191.0,98.0,289.0,[],35.231,Journals_Metadata/European Management Journal.json
The american journal of medicine,,IndexedJournalsList,OpenAccess,Translational Journal of the American College of Sports Medicine,Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine,"['2379-2868', '2379-2868']","[[2020, 35], [2021, 14], [2016, 5], [2018, 3], [2019, 2]]",8.0,51.0,59.0,[],35.231,Journals_Metadata/The american journal of medicine.json
The American Statistician,,IndexedJournalsList,OpenAccess,The American Statistician,Informa UK (American Statistical Association),"['1537-2731', '0003-1305']","[[1983, 249], [1985, 237], [1982, 227], [1986, 202], [1984, 201], [1995, 192], [1994, 188], [1987, 188], [1997, 183], [1989, 182], [1988, 182], [1991, 177], [1996, 175], [1981, 168], [1990, 167], [1999, 166], [1993, 162], [1998, 161], [1968, 161], [1992, 160], [1972, 159], [1971, 159], [1973, 158], [1969, 155], [2000, 146], [1980, 138], [1979, 127], [1967, 125], [1970, 122], [2019, 113], [2018, 113], [2007, 109], [1976, 109], [1966, 108], [1948, 108], [2008, 107], [1978, 106], [1975, 103], [2004, 102], [1965, 101], [1977, 95], [1974, 95], [1964, 91], [1950, 91], [2006, 88], [1961, 87], [1952, 86], [2005, 85], [2001, 84], [1963, 84], [2002, 83], [2003, 82], [1962, 78], [1959, 74], [2009, 73], [1960, 69], [2014, 66], [1954, 66], [1953, 65], [2017, 64], [2016, 64], [2015, 64], [1951, 64], [1949, 62], [2010, 61], [1958, 57], [1956, 57], [1957, 56], [1955, 55], [2013, 51], [2020, 50], [2011, 50], [1947, 49], [2012, 42], [2021, 22]]",8421.0,185.0,8606.0,"[{'name': 'Statistics, Probability and Uncertainty', 'ASJC': 1804}, {'name': 'General Mathematics', 'ASJC': 2600}, {'name': 'Statistics and Probability', 'ASJC': 2613}]",35.231,Journals_Metadata/The American Statistician.json
Australian and New Zealand journal of statistics,,IndexedJournalsList,OpenAccess,Australian & New Zealand Journal of Statistics,Wiley (Blackwell Publishing),"['1467-842X', '1369-1473']","[[2004, 63], [2011, 59], [2001, 58], [2002, 57], [1998, 56], [2013, 53], [2005, 53], [2012, 52], [2003, 49], [1999, 48], [2000, 47], [2007, 45], [2015, 44], [2014, 44], [2010, 41], [2006, 41], [2016, 40], [2018, 39], [2017, 39], [2009, 37], [2020, 35], [2019, 35], [2008, 34], [2021, 7], [1991, 2], [1994, 1]]",1002.0,77.0,1079.0,"[{'name': 'Statistics, Probability and Uncertainty', 'ASJC': 1804}, {'name': 'Statistics and Probability', 'ASJC': 2613}]",35.231,Journals_Metadata/Australian and New Zealand journal of statistics.json
Journal of statistical software,,IndexedJournalsList,OpenAccess,Journal of Statistical Software,Foundation for Open Access Statistic,['1548-7660'],"[[2011, 112], [2015, 108], [2017, 107], [2016, 104], [2014, 96], [2012, 94], [2018, 87], [2010, 84], [2007, 81], [2020, 74], [2009, 71], [2008, 65], [2013, 58], [2019, 55], [2005, 49], [2006, 43], [2004, 33], [2003, 21], [2002, 13], [2021, 11], [1997, 9], [2001, 8], [2000, 8], [1999, 6], [1998, 4], [1996, 4]]",1265.0,140.0,1405.0,"[{'name': 'Software', 'ASJC': 1712}, {'name': 'Statistics, Probability and Uncertainty', 'ASJC': 1804}, {'name': 'Statistics and Probability', 'ASJC': 2613}]",35.231,Journals_Metadata/Journal of statistical software.json
Sustainable chemistry and pharmacy,,IndexedJournalsList,OpenAccess,Sustainable Chemistry and Pharmacy,Elsevier ,['2352-5541'],"[[2020, 146], [2021, 86], [2019, 69], [2018, 53], [2017, 34], [2016, 18], [2015, 10]]",115.0,301.0,416.0,[],35.231,Journals_Metadata/Sustainable chemistry and pharmacy.json
Journal of managed care and specialty pharmacy,,IndexedJournalsList,OpenAccess,Journal of Managed Care & Specialty Pharmacy,Academy of Managed Care Pharmacy,"['2376-1032', '2376-0540']","[[2020, 223], [2019, 171], [2016, 165], [2017, 152], [2018, 148], [2015, 113], [2021, 72]]",578.0,466.0,1044.0,"[{'name': 'Health Policy', 'ASJC': 2719}, {'name': 'Pharmaceutical Science', 'ASJC': 3003}, {'name': 'Pharmacy', 'ASJC': 3611}]",35.231,Journals_Metadata/Journal of managed care and specialty pharmacy.json
Pharmaceutical patent analyst,,IndexedJournalsList,OpenAccess,Pharmaceutical Patent Analyst,Newlands Press Ltd,"['2046-8962', '2046-8954']","[[2013, 84], [2012, 76], [2014, 63], [2016, 49], [2015, 45], [2017, 38], [2018, 32], [2020, 28], [2019, 25], [2021, 7]]",387.0,60.0,447.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",35.231,Journals_Metadata/Pharmaceutical patent analyst.json
International journal of clinical pharmacy,,IndexedJournalsList,OpenAccess,International Journal of Clinical Pharmacy,Springer-Verlag,"['2210-7711', '2210-7703']","[[2020, 252], [2018, 188], [2019, 182], [2015, 180], [2016, 174], [2013, 169], [2017, 160], [2011, 146], [2014, 145], [2012, 134], [2021, 65], [2010, 4]]",1300.0,499.0,1799.0,"[{'name': 'Pharmacology (medical)', 'ASJC': 2736}, {'name': 'Pharmaceutical Science', 'ASJC': 3003}, {'name': 'Pharmacology', 'ASJC': 3004}, {'name': 'Toxicology', 'ASJC': 3005}, {'name': 'Pharmacy', 'ASJC': 3611}]",35.231,Journals_Metadata/International journal of clinical pharmacy.json
Journal of integrative agriculture,,IndexedJournalsList,OpenAccess,Journal of Integrative Agriculture,Elsevier ,['2095-3119'],"[[2014, 297], [2016, 296], [2017, 292], [2020, 285], [2018, 281], [2019, 278], [2015, 264], [2013, 251], [2012, 240], [2021, 127]]",1921.0,690.0,2611.0,"[{'name': 'Agronomy and Crop Science', 'ASJC': 1102}, {'name': 'Animal Science and Zoology', 'ASJC': 1103}, {'name': 'Food Science', 'ASJC': 1106}, {'name': 'Plant Science', 'ASJC': 1110}, {'name': 'Biochemistry', 'ASJC': 1303}, {'name': 'Ecology', 'ASJC': 2303}, {'name': 'Food Animals', 'ASJC': 3403}, {'name': 'Agronomy and Crop Science', 'ASJC': 1102}, {'name': 'Animal Science and Zoology', 'ASJC': 1103}, {'name': 'Food Science', 'ASJC': 1106}, {'name': 'Plant Science', 'ASJC': 1110}, {'name': 'Biochemistry', 'ASJC': 1303}, {'name': 'Ecology', 'ASJC': 2303}, {'name': 'Food Animals', 'ASJC': 3403}]",35.231,Journals_Metadata/Journal of integrative agriculture.json
Animal Production Science,,IndexedJournalsList,OpenAccess,Journal of Animal Sciences and Livestock Production,Scitechnol Biosoft Pvt. Ltd (OMICS),['2577-0594'],"[[2017, 10], [2018, 4]]",14.0,0.0,14.0,[],35.231,Journals_Metadata/Animal Production Science.json
Science and technology of advanced materials,,IndexedJournalsList,OpenAccess,Science and Technology of Advanced Materials,Informa UK (Taylor & Francis),"['1878-5514', '1468-6996']","[[2005, 162], [2006, 161], [2008, 121], [2004, 117], [2015, 116], [2014, 110], [2007, 109], [2017, 98], [2003, 94], [2001, 94], [2019, 93], [2011, 92], [2012, 85], [2016, 81], [2013, 80], [2018, 72], [2020, 68], [2009, 65], [2010, 62], [2002, 41], [2021, 34], [2000, 30]]",1790.0,195.0,1985.0,"[{'name': 'General Materials Science', 'ASJC': 2500}]",35.231,Journals_Metadata/Science and technology of advanced materials.json
Emerging Infectious Diseases,,IndexedJournalsList,OpenAccess,Journal of Emerging Infectious Diseases,OMICS Publishing Group,['2472-4998'],"[[2016, 21], [2017, 6]]",27.0,0.0,27.0,[],35.231,Journals_Metadata/Emerging Infectious Diseases.json
Infectious diseases of poverty,,IndexedJournalsList,OpenAccess,Infectious Diseases of Poverty,Springer (Biomed Central Ltd.),"['2049-9957', '2049-9957']","[[2020, 168], [2017, 167], [2018, 129], [2016, 112], [2019, 104], [2015, 60], [2014, 47], [2021, 42], [2013, 31], [2012, 13]]",559.0,314.0,873.0,[],35.231,Journals_Metadata/Infectious diseases of poverty.json
Emerging microbes and infections,,IndexedJournalsList,OpenAccess,Emerging Microbes & Infections,Informa UK (Taylor & Francis),['2222-1751'],"[[2020, 300], [2018, 215], [2019, 177], [2017, 112], [2021, 103], [2016, 86], [2013, 54], [2014, 51], [2015, 48], [2012, 30]]",596.0,580.0,1176.0,"[{'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}, {'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}, {'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Parasitology', 'ASJC': 2405}, {'name': 'Virology', 'ASJC': 2406}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Epidemiology', 'ASJC': 2713}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Drug Discovery', 'ASJC': 3002}]",35.231,Journals_Metadata/Emerging microbes and infections.json
Frontiers in microbiology,,IndexedJournalsList,OpenAccess,Frontiers in Cellular and Infection Microbiology,Frontiers Media SA,['2235-2988'],"[[2020, 852], [2017, 532], [2021, 528], [2019, 453], [2018, 453], [2016, 209], [2014, 177], [2012, 170], [2013, 118], [2015, 108], [2011, 19]]",1786.0,1833.0,3619.0,"[{'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Microbiology (medical)', 'ASJC': 2726}]",35.231,Journals_Metadata/Frontiers in microbiology.json
Frontiers in Cellular and Infection Microbiology,,IndexedJournalsList,OpenAccess,Frontiers in Cellular and Infection Microbiology,Frontiers Media SA,['2235-2988'],"[[2020, 852], [2017, 532], [2021, 528], [2019, 453], [2018, 453], [2016, 209], [2014, 177], [2012, 170], [2013, 118], [2015, 108], [2011, 19]]",1786.0,1833.0,3619.0,"[{'name': 'Immunology', 'ASJC': 2403}, {'name': 'Microbiology', 'ASJC': 2404}, {'name': 'Infectious Diseases', 'ASJC': 2725}, {'name': 'Microbiology (medical)', 'ASJC': 2726}]",35.231,Journals_Metadata/Frontiers in Cellular and Infection Microbiology.json
BMC dermatology,,IndexedJournalsList,OpenAccess,BMC Dermatology,Springer (Biomed Central Ltd.),"['1471-5945', '1471-5945']","[[2020, 24], [2012, 21], [2014, 19], [2015, 18], [2004, 18], [2019, 16], [2017, 16], [2013, 16], [2011, 16], [2016, 15], [2002, 15], [2005, 13], [2018, 12], [2009, 12], [2010, 11], [2006, 10], [2001, 9], [2007, 6], [2008, 5], [2003, 5]]",237.0,40.0,277.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/BMC dermatology.json
Journal of Investigative Dermatology,,IndexedJournalsList,OpenAccess,Journal of Clinical and Investigative Dermatology,Avens Publishing Group,['2373-1044'],"[[2017, 15], [2016, 15], [2014, 13], [2020, 8], [2015, 7], [2019, 4], [2018, 4], [2021, 2]]",54.0,14.0,68.0,[],35.231,Journals_Metadata/Journal of Investigative Dermatology.json
Experimental Dermatology,,IndexedJournalsList,OpenAccess,Journal of Clinical & Experimental Dermatology Research,OMICS Publishing Group,"['2155-9554', '2155-9554']","[[2014, 86], [2015, 85], [2017, 83], [2016, 79], [2018, 61], [2013, 45], [2011, 25], [2012, 20], [2010, 15]]",499.0,0.0,499.0,[],35.231,Journals_Metadata/Experimental Dermatology.json
British Journal of Dermatology,,IndexedJournalsList,OpenAccess,British Journal of Dermatology,Wiley (Blackwell Publishing),"['1365-2133', '0007-0963']","[[2019, 1395], [2006, 1292], [2018, 1274], [1996, 997], [2017, 969], [2020, 948], [1997, 852], [2007, 851], [2015, 830], [2014, 792], [2005, 779], [2009, 764], [2016, 761], [2000, 705], [2003, 659], [1998, 637], [1999, 627], [2001, 623], [2012, 615], [2002, 599], [2011, 596], [2004, 592], [2013, 548], [2008, 539], [2010, 522], [1988, 471], [1990, 452], [1987, 432], [1991, 412], [1984, 410], [1983, 410], [1985, 404], [1992, 403], [1986, 399], [2021, 398], [1993, 394], [1989, 387], [1994, 375], [1978, 363], [1977, 330], [1981, 322], [1982, 314], [1970, 308], [1972, 298], [1976, 292], [1995, 291], [1974, 290], [1969, 270], [1975, 268], [1980, 264], [1979, 252], [1971, 231], [1968, 214], [1973, 203], [1967, 174], [1966, 158], [1964, 140], [1965, 137], [1935, 135], [1963, 128], [1938, 125], [1962, 123], [1933, 122], [1937, 116], [1934, 116], [1936, 114], [1955, 112], [1948, 112], [1939, 111], [1932, 110], [1960, 108], [1954, 107], [1931, 107], [1950, 105], [1957, 102], [1958, 101], [1930, 100], [1961, 99], [1956, 99], [1929, 98], [1927, 97], [1924, 96], [1928, 94], [1952, 93], [1949, 92], [1959, 91], [1925, 90], [1953, 88], [1947, 87], [1943, 83], [1941, 83], [1922, 83], [1923, 82], [1921, 82], [1951, 80], [1920, 79], [1940, 78], [1926, 78], [1895, 78], [1910, 76], [1901, 76], [1942, 75], [1896, 75], [1902, 72], [1912, 70], [1908, 70], [1903, 68], [1946, 56], [1945, 56], [1898, 50], [1944, 47], [1917, 47], [1911, 47], [1918, 38], [1916, 38], [1919, 37], [1892, 28]]",32601.0,2741.0,35342.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/British Journal of Dermatology.json
Archives of Dermatological Research,,IndexedJournalsList,OpenAccess,Archives of Dermatological Research,Springer-Verlag,"['1432-069X', '0340-3696']","[[1957, 420], [1913, 359], [1912, 359], [1921, 348], [1961, 331], [1964, 309], [1926, 298], [1972, 292], [1966, 277], [1996, 276], [1928, 272], [1911, 266], [1914, 265], [1970, 235], [1930, 227], [1924, 218], [1922, 196], [1910, 187], [1907, 175], [1981, 162], [1903, 162], [1932, 160], [1898, 160], [1905, 159], [1909, 157], [1904, 155], [1985, 153], [1906, 153], [1967, 152], [1902, 151], [1908, 147], [1960, 145], [1935, 139], [1933, 139], [1916, 139], [2019, 135], [1979, 135], [2020, 134], [1901, 134], [1899, 132], [1975, 131], [1982, 130], [1965, 130], [1938, 130], [1980, 128], [2013, 127], [1990, 127], [1929, 126], [1995, 125], [1897, 125], [1978, 124], [1977, 123], [1892, 123], [1931, 122], [1923, 119], [1900, 117], [1894, 117], [1884, 117], [1989, 116], [1998, 115], [1896, 113], [1888, 113], [1997, 110], [1987, 110], [1974, 108], [1991, 107], [2012, 106], [1915, 106], [1889, 106], [1887, 106], [1986, 105], [1895, 105], [1994, 103], [1993, 103], [2008, 102], [1973, 102], [1988, 99], [1984, 99], [1976, 99], [1969, 99], [1937, 99], [1934, 98], [1886, 98], [2009, 97], [1925, 97], [2007, 96], [2004, 96], [1999, 96], [1971, 96], [2016, 95], [2014, 95], [2005, 95], [1983, 95], [2006, 94], [1992, 93], [2017, 91], [2011, 90], [1940, 90], [1963, 89], [1955, 89], [2010, 88], [1956, 87], [2001, 86], [1936, 85], [2000, 84], [2018, 83], [1968, 83], [2015, 82], [1927, 80], [2003, 79], [1954, 79], [2002, 75], [1959, 75], [1952, 74], [1885, 70], [1949, 68], [1891, 68], [1958, 67], [1939, 67], [2021, 66], [1893, 66], [1943, 64], [1919, 64], [1951, 63], [1950, 63], [1953, 61], [1962, 58], [1890, 53], [1918, 51], [1869, 50], [1948, 48], [1871, 46], [1870, 46], [1883, 44], [1882, 44], [1879, 44], [1941, 43], [1872, 41], [1880, 39], [1917, 38], [1942, 35], [1881, 32], [1873, 30], [1947, 24], [1920, 24], [1944, 20], [1946, 13]]",17290.0,335.0,17625.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/Archives of Dermatological Research.json
Journal of the American Academy of Dermatology,,IndexedJournalsList,OpenAccess,Journal of the American Academy of Dermatology,Elsevier ,['0190-9622'],"[[2020, 2378], [2019, 2158], [2018, 2030], [2017, 2003], [2016, 1872], [2015, 1854], [2005, 1797], [2013, 1703], [2012, 1614], [2014, 1598], [2007, 1570], [2004, 1531], [2011, 1518], [2009, 1437], [2008, 1311], [2010, 1258], [2021, 1003], [2006, 887], [1986, 819], [1987, 817], [1990, 760], [1995, 751], [1985, 736], [1989, 731], [2003, 730], [1996, 724], [1991, 705], [1988, 691], [1984, 681], [1997, 659], [1992, 658], [1994, 656], [1993, 643], [2000, 628], [1998, 586], [1999, 562], [2001, 559], [1982, 557], [1983, 551], [2002, 521], [1981, 479], [1980, 411], [1979, 153]]",39751.0,5539.0,45290.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/Journal of the American Academy of Dermatology.json
Clinics in Dermatology,,IndexedJournalsList,OpenAccess,Clinics in Dermatology,Elsevier ,['0738-081X'],"[[2020, 199], [2014, 124], [2010, 124], [2012, 117], [2001, 117], [2013, 116], [2011, 114], [2018, 113], [2002, 112], [2016, 111], [2009, 109], [2007, 108], [1997, 105], [2019, 104], [2015, 103], [2008, 103], [2017, 102], [1996, 99], [1998, 98], [1999, 96], [2005, 94], [1988, 92], [2004, 88], [2006, 87], [2000, 87], [1987, 87], [1993, 85], [1986, 83], [2003, 80], [1995, 79], [1984, 75], [1985, 74], [1991, 73], [1994, 72], [1992, 66], [1989, 65], [1990, 57], [2021, 38], [1983, 34]]",3349.0,341.0,3690.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/Clinics in Dermatology.json
American Journal of Clinical Dermatology,,IndexedJournalsList,OpenAccess,American Journal of Clinical Dermatology,Springer-Verlag,"['1179-1888', '1175-0561']","[[2017, 91], [2019, 85], [2003, 83], [2020, 77], [2018, 76], [2016, 74], [2010, 73], [2002, 68], [2004, 65], [2015, 64], [2008, 62], [2009, 61], [2007, 57], [2001, 53], [2000, 53], [2014, 52], [2012, 52], [2011, 52], [2006, 51], [2005, 49], [2013, 47], [2021, 27]]",1183.0,189.0,1372.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Dermatology', 'ASJC': 2708}]",35.231,Journals_Metadata/American Journal of Clinical Dermatology.json
Journal of Dermatological Science,,IndexedJournalsList,OpenAccess,Journal of Cosmetics Dermatological Sciences and Applications,"""Scientific Research Publishing, Inc.""","['2161-4512', '2161-4105']","[[2013, 64], [2012, 55], [2014, 47], [2015, 40], [2017, 32], [2019, 31], [2018, 29], [2011, 27], [2016, 25], [2020, 22], [2021, 7]]",319.0,60.0,379.0,[],35.231,Journals_Metadata/Journal of Dermatological Science.json
Cardiovascular Diabetology,,IndexedJournalsList,OpenAccess,Cardiovascular Diabetology,Springer (Biomed Central Ltd.),"['1475-2840', '1475-2840']","[[2020, 213], [2013, 180], [2019, 172], [2014, 165], [2016, 164], [2018, 160], [2017, 160], [2012, 156], [2015, 155], [2011, 118], [2021, 107], [2010, 93], [2009, 65], [2007, 39], [2008, 36], [2006, 27], [2003, 19], [2005, 18], [2004, 10], [2002, 5]]",1570.0,492.0,2062.0,"[{'name': 'Cardiology and Cardiovascular Medicine', 'ASJC': 2705}, {'name': 'Endocrinology, Diabetes and Metabolism', 'ASJC': 2712}]",35.231,Journals_Metadata/Cardiovascular Diabetology.json
Clinical Diabetes and Endocrinology,,IndexedJournalsList,OpenAccess,Experimental and Clinical Endocrinology & Diabetes Reports,Georg Thieme Verlag KG,['2196-7407'],"[[2016, 6], [2015, 6], [2017, 5], [2018, 4], [2014, 2]]",23.0,0.0,23.0,[],35.231,Journals_Metadata/Clinical Diabetes and Endocrinology.json
Journal of diabetes investigation,,IndexedJournalsList,OpenAccess,Journal of Diabetes Investigation,Wiley (Blackwell Publishing),"['2040-1124', '2040-1116']","[[2020, 286], [2019, 215], [2018, 210], [2017, 189], [2016, 158], [2013, 156], [2015, 142], [2021, 117], [2014, 116], [2011, 106], [2010, 94], [2012, 93]]",1264.0,618.0,1882.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Endocrinology, Diabetes and Metabolism', 'ASJC': 2712}, {'name': 'Internal Medicine', 'ASJC': 2724}]",35.231,Journals_Metadata/Journal of diabetes investigation.json
Japanese Dental Science Review,,IndexedJournalsList,OpenAccess,Japanese Dental Science Review,Elsevier ,['1882-7616'],"[[2020, 28], [2010, 26], [2019, 22], [2018, 22], [2011, 22], [2008, 22], [2012, 21], [2013, 20], [2009, 19], [2017, 16], [2014, 16], [2015, 14], [2016, 13], [2021, 9]]",211.0,59.0,270.0,"[{'name': 'General Dentistry', 'ASJC': 3500}]",35.231,Journals_Metadata/Japanese Dental Science Review.json
Nutrition and Diabetes,,IndexedJournalsList,OpenAccess,Romanian Journal of Diabetes Nutrition and Metabolic Diseases,De Gruyter Open Sp. z o.o. ,['2068-7532'],"[[2012, 8]]",8.0,0.0,8.0,[],35.231,Journals_Metadata/Nutrition and Diabetes.json
Molecular Cancer,,IndexedJournalsList,OpenAccess,Cancer Studies and Molecular Medicine - Open Journal,Openventio Publishers,['2377-1518'],"[[2017, 10], [2015, 10], [2018, 6], [2019, 5], [2014, 5], [2020, 3]]",31.0,8.0,39.0,[],35.231,Journals_Metadata/Molecular Cancer.json
British Dental Journal,,IndexedJournalsList,OpenAccess,British Journal of Dental Science Research and Development,BS Publishing Limited,[],,,,,[],35.231,Journals_Metadata/British Dental Journal.json
Journal of the american dental association,,IndexedJournalsList,OpenAccess,The Journal of the American Dental Association,Elsevier ,['0002-8177'],"[[1973, 654], [1976, 643], [1974, 638], [1975, 602], [1977, 582], [1996, 568], [1972, 565], [1997, 533], [1971, 504], [1982, 503], [1998, 502], [1979, 502], [1978, 501], [1995, 490], [1981, 485], [1984, 482], [1985, 478], [1980, 478], [1967, 477], [1983, 470], [2017, 467], [1999, 465], [2000, 463], [2001, 457], [1942, 446], [1947, 435], [2010, 433], [1970, 433], [1943, 430], [2004, 421], [1963, 419], [1939, 418], [2011, 415], [2012, 414], [2006, 410], [2018, 407], [1969, 404], [1944, 403], [1964, 402], [1968, 399], [1966, 391], [1986, 390], [2019, 389], [1991, 388], [2003, 384], [2002, 384], [1988, 381], [1940, 381], [2020, 376], [2005, 376], [1987, 374], [1962, 369], [2014, 364], [2008, 364], [2007, 363], [1965, 358], [2009, 357], [1992, 355], [1946, 340], [1941, 338], [1961, 331], [2013, 329], [1989, 323], [1945, 315], [1959, 313], [1994, 310], [1990, 305], [1993, 304], [2015, 293], [1960, 289], [1957, 288], [1951, 285], [1958, 283], [1955, 274], [1950, 272], [1949, 271], [1956, 263], [2016, 260], [1952, 260], [1953, 252], [1954, 244], [1948, 226], [2021, 125]]",32145.0,890.0,33035.0,"[{'name': 'General Dentistry', 'ASJC': 3500}]",35.231,Journals_Metadata/Journal of the american dental association.json
Journal of Big Data,,IndexedJournalsList,OpenAccess,Journal Of Big Data,Springer (Biomed Central Ltd.),"['2196-1115', '2196-1115']","[[2019, 113], [2020, 111], [2021, 68], [2018, 53], [2017, 49], [2016, 26], [2015, 25], [2014, 8]]",161.0,292.0,453.0,[],35.231,Journals_Metadata/Journal of Big Data.json
